rank,name,worldwide_box_office,movies,average
464,Fergal Reilly,352327887,1,352327887
465,Josh Boone,351901690,3,117300563
466,Hal Needham,350465707,10,35046571
467,Hugh Wilson,347622020,8,43452753
468,Alan Parker,347603172,14,24828798
469,Stephen Chbosky,345824518,4,86456130
470,Warren Beatty,344613557,5,68922711
471,Michael Caton-Jones,343754911,12,28646243
472,Noam Murro,342435670,2,171217835
473,Greg Tiernan,341956282,4,85489071
474,Michael Ritchie,339966005,16,21247875
475,John Krasinski,336378478,5,67275696
476,Peter Hewitt,336023821,8,42002978
477,Richard Curtis,335377612,3,111792537
478,Jonathan Frakes,334820272,4,83705068
479,Chao Deng,333329075,3,111109692
480,Baimei Yu,333329075,3,111109692
481,Randall Wallace,332918977,4,83229744
482,Peter Faiman,332474528,2,166237264
483,Jon Avnet,332248813,8,41531102
484,Rob Bowman,331011050,4,82752763
485,Alexandre Aja,328440072,9,36493341
486,Adam Robitel,328399092,4,82099773
487,Daniel Espinosa,327688452,6,54614742
488,Olivier Magaton,327656424,1,327656424
489,Joe Carnahan,327597047,10,32759705
490,Gary Winick,327346184,6,54557697
491,Howard Deutch,326558383,11,29687126
492,Richard Linklater,324120994,21,15434333
493,Allen Hughes,323807732,8,40475967
494,Wayne Wang,323421384,17,19024787
495,Steven Brill,322807084,7,46115298
496,Jonathan Levine,322461564,6,53743594
497,John Hughes,322270786,8,40283848
498,James DeMonaco,321316189,5,64263238
499,Steven Quale,319727892,5,63945578
500,Greg Mottola,319570985,7,45652998
501,Robert Altman,317588669,21,15123270
502,Jose Padilha,316917988,4,79229497
503,Miloš Forman,315587563,8,39448445
504,Ron Shelton,315251774,9,35027975
505,Andrew Niccol,314168662,7,44881237
506,Christopher Landon,311042296,6,51840383
507,Paul Tibbitt,311013181,1,311013181
508,Chris McKay,310570560,4,77642640
509,Stephen Norrington,310502892,2,155251446
510,Phil Alden Robinson,310490792,5,62098158
511,Kirk Jones,309315152,3,103105051
512,Nitesh Tiwari,309186887,4,77296722
513,Breck Eisner,308909836,3,102969945
514,Jackie Chan,307760223,6,51293371
515,Tian Yusheng,307547824,1,307547824
516,Paul Thomas Anderson,307048823,9,34116536
517,John Carpenter,306440479,20,15322024
518,George Tillman Jr,305973896,8,38246737
519,Haruo Sotozaki,305471494,2,152735747
520,Jeff Fowler,304989872,2,152494936
521,Tony Chan,304345923,5,60869185
522,Richard Attenborough,303289110,10,30328911
523,David Green,302803370,5,60560674
524,Dante Lam,302610428,6,50435071
525,Charles Shyer,302578210,7,43225459
526,Gary Fleder,302367519,7,43195360
527,Beeban Kidron,300644202,4,75161051
528,Andrzej Bartkowiak,298879572,7,42697082
529,Kenny Ortega,296797115,7,42399588
530,Greta Gerwig,296576215,2,148288108
531,Simon Wincer,296435626,10,29643563
532,Joe Roth,295003018,5,59000604
533,Jason Friedberg,294985243,8,36873155
534,Fede Álvarez,292998974,4,73249744
535,Hoyt H. Yeatman,292817841,1,292817841
536,Josh Trank,292281945,3,97427315
537,Cheang Pou-Soi,291628574,3,97209525
538,Luke Greenfield,291428419,5,58285684
539,Carl Reiner,291264710,11,26478610
540,Steven S. DeKnight,290930148,1,290930148
541,S.S. Rajamouli,290239579,2,145119790
542,David Lean,288904665,8,36113083
543,Jesse Dylan,288196929,3,96065643
544,Theodore Melfi,286608950,4,71652238
545,Florian Henckel von Donnersmarck,283910545,2,141955273
546,Soi Cheang,282929944,3,94309981
547,Chris Noonan,281991257,2,140995629
548,Richard Benjamin,280990191,11,25544563
549,John R. Leonetti,280344647,4,70086162
550,Peter Cattaneo,279068596,4,69767149
551,David Twohy,278563481,5,55712696
552,Richard LaGravenese,278005964,7,39715138
553,Steve Rodney McQueen,277381169,4,69345292
554,Scott Waugh,277308153,3,92436051
555,Alejandro Amenábar,276422641,5,55284528
556,Leigh Whannell,276279388,4,69069847
557,James McTeigue,276214518,5,55242904
558,Roar Uthaug,276125838,3,92041946
559,John Guillermin,274963148,10,27496315
560,Cody Cameron,274392649,1,274392649
561,Kris Pearn,274392649,2,137196325
562,Greg MacGillivray,272232011,9,30248001
563,Mathieu Kassovitz,271855591,4,67963898
564,Charles Martin Smith,269359454,8,33669932
565,Boaz Yakin,268169134,8,33521142
566,Harold Becker,265167718,9,29463080
567,Kevin Smith,264699565,16,16543723
568,Wilfred Jackson,263609844,3,87869948
569,Trish Sie,263540796,3,87846932
570,Peter Chan,263525617,4,65881404
571,Yuen Woo Ping,261971463,5,52394293
572,Steve Barron,261771020,7,37395860
573,Roberto Benigni,261637240,4,65409310
574,Mel Smith,261432522,4,65358131
575,Jay Russell,260902537,5,52180507
576,Josh Gordon,260692422,3,86897474
577,Will Speck,260692422,3,86897474
578,Howard Zieff,257338596,7,36762657
579,John Huston,256280655,18,14237814
580,Camille Delamarre,256050676,3,85350225
581,Joe Pytka,255151472,2,127575736
582,Gil Kenan,254811997,4,63702999
583,Justin Kurzel,254615087,5,50923017
